Frequency (Hz)	Level (dB)
5.383301	-54.042377
10.766602	-54.171513
16.149902	-55.622810
21.533203	-55.953056
26.916504	-50.469292
32.299805	-54.889709
37.683105	-59.975761
43.066406	-60.482937
48.449707	-55.034744
53.833008	-62.517803
59.216309	-65.732445
64.599609	-69.369514
69.982910	-60.253742
75.366211	-59.281517
80.749512	-51.567753
86.132812	-52.261211
91.516113	-51.194706
96.899414	-33.757259
102.282715	-22.071306
107.666016	-23.077347
113.049316	-36.339790
118.432617	-47.507408
123.815918	-60.549370
129.199219	-58.452213
134.582520	-50.083897
139.965820	-49.968273
145.349121	-48.046192
150.732422	-52.904366
156.115723	-52.009251
161.499023	-46.850117
166.882324	-50.437042
172.265625	-48.829716
177.648926	-53.166355
183.032227	-43.732510
188.415527	-30.070137
193.798828	-28.715389
199.182129	-27.035126
204.565430	-24.307154
209.948730	-20.887211
215.332031	-21.017796
220.715332	-24.597054
226.098633	-24.127123
231.481934	-38.495060
236.865234	-50.726784
242.248535	-38.215427
247.631836	-28.705833
253.015137	-29.676344
258.398438	-42.229073
263.781738	-45.160034
269.165039	-50.963543
274.548340	-57.803131
279.931641	-54.803776
285.314941	-58.621624
290.698242	-48.244003
296.081543	-43.624111
301.464844	-51.869659
306.848145	-55.879238
312.231445	-48.026283
317.614746	-43.073185
322.998047	-29.980019
328.381348	-19.002680
333.764648	-21.042328
339.147949	-37.107693
344.531250	-50.478745
349.914551	-58.986706
355.297852	-63.552780
360.681152	-64.307419
366.064453	-65.168976
371.447754	-63.601788
376.831055	-65.061897
382.214355	-65.885269
387.597656	-60.133533
392.980957	-63.852093
398.364258	-57.966423
403.747559	-54.413410
409.130859	-59.497501
414.514160	-50.447853
419.897461	-42.746578
425.280762	-44.926846
430.664062	-50.818901
436.047363	-52.500732
441.430664	-58.262371
446.813965	-55.610359
452.197266	-56.679741
457.580566	-56.160686
462.963867	-56.171078
468.347168	-51.466774
473.730469	-46.375362
479.113770	-42.305115
484.497070	-42.256535
489.880371	-47.076874
495.263672	-57.845776
500.646973	-54.405041
506.030273	-61.088318
511.413574	-61.164806
516.796875	-69.022690
