Frequency (Hz)	Level (dB)
5.383301	-67.775642
10.766602	-71.600578
16.149902	-76.775597
21.533203	-86.821587
26.916504	-78.000259
32.299805	-78.937912
37.683105	-85.484612
43.066406	-88.744408
48.449707	-92.728722
53.833008	-92.677689
59.216309	-92.512878
64.599609	-91.803215
69.982910	-93.167953
75.366211	-92.909225
80.749512	-94.961899
86.132812	-96.614578
91.516113	-96.755051
96.899414	-93.363205
102.282715	-92.836899
107.666016	-93.336166
113.049316	-93.963455
118.432617	-94.216179
123.815918	-92.373680
129.199219	-93.689743
134.582520	-94.267624
139.965820	-92.428673
145.349121	-92.042175
150.732422	-92.629417
156.115723	-92.726570
161.499023	-91.469635
166.882324	-93.932297
172.265625	-94.030510
177.648926	-93.417877
183.032227	-94.209785
188.415527	-92.469894
193.798828	-81.654823
199.182129	-71.362587
204.565430	-73.042923
209.948730	-88.437721
215.332031	-90.415764
220.715332	-84.854218
226.098633	-82.259750
231.481934	-81.744385
236.865234	-65.680656
242.248535	-60.450775
247.631836	-66.841194
253.015137	-89.489548
258.398438	-92.465508
263.781738	-91.961098
269.165039	-91.740707
274.548340	-94.203392
279.931641	-93.509888
285.314941	-92.148399
290.698242	-93.398148
296.081543	-92.606255
301.464844	-92.949600
306.848145	-94.957230
312.231445	-97.073730
317.614746	-95.302223
322.998047	-96.020737
328.381348	-96.944000
333.764648	-96.264526
339.147949	-93.415741
344.531250	-93.448662
349.914551	-93.826080
355.297852	-96.154869
360.681152	-94.994156
366.064453	-93.456459
371.447754	-92.472435
376.831055	-92.299149
382.214355	-91.560242
387.597656	-91.731697
392.980957	-91.344360
398.364258	-87.083076
403.747559	-87.057198
409.130859	-78.791435
414.514160	-77.246521
419.897461	-71.905563
425.280762	-65.580887
430.664062	-56.188396
436.047363	-35.609264
441.430664	-25.538076
446.813965	-27.554499
452.197266	-44.513187
457.580566	-59.564651
462.963867	-68.120941
468.347168	-73.453270
473.730469	-78.881752
479.113770	-79.769516
484.497070	-80.909187
489.880371	-83.330948
495.263672	-86.455856
500.646973	-88.546730
506.030273	-89.064972
511.413574	-88.886978
516.796875	-89.869270
522.180176	-90.057297
527.563477	-91.593773
532.946777	-91.980659
538.330078	-93.205795
543.713379	-93.184067
549.096680	-92.021011
554.479980	-88.903427
559.863281	-88.907509
565.246582	-90.220810
570.629883	-90.569412
576.013184	-93.074043
581.396484	-89.320244
586.779785	-87.216759
592.163086	-87.987473
597.546387	-88.023148
602.929688	-87.443039
608.312988	-86.004448
613.696289	-85.644356
619.079590	-85.105217
624.462891	-84.615883
629.846191	-79.965775
635.229492	-76.358109
640.612793	-69.678917
645.996094	-68.185074
651.379395	-76.226120
656.762695	-77.778152
662.145996	-73.286713
667.529297	-73.412331
672.912598	-68.754501
678.295898	-48.725521
683.679199	-39.183273
689.062500	-41.259666
694.445801	-57.619293
699.829102	-70.849159
705.212402	-73.138184
710.595703	-71.876846
715.979004	-74.445694
721.362305	-76.561501
726.745605	-78.046150
732.128906	-78.529816
737.512207	-78.330139
742.895508	-78.482315
748.278809	-78.720581
753.662109	-79.486160
759.045410	-78.242798
764.428711	-78.514732
769.812012	-80.052750
775.195312	-80.648125
780.578613	-80.423515
785.961914	-82.442490
791.345215	-83.085495
796.728516	-81.504234
802.111816	-81.568138
807.495117	-83.434258
812.878418	-83.209854
818.261719	-80.430923
823.645020	-79.627151
829.028320	-78.270706
834.411621	-78.355927
839.794922	-72.601593
845.178223	-72.224861
850.561523	-70.004959
855.944824	-65.951958
861.328125	-64.079811
866.711426	-61.951820
872.094727	-49.957500
877.478027	-33.704948
882.861328	-22.483559
888.244629	-21.158045
893.627930	-31.201027
899.011230	-52.816917
904.394531	-62.459763
909.777832	-67.782654
915.161133	-70.967453
920.544434	-70.760475
925.927734	-67.629311
931.311035	-69.866302
936.694336	-75.231125
942.077637	-75.241486
947.460938	-73.828560
952.844238	-75.121445
958.227539	-76.066483
963.610840	-74.867279
968.994141	-74.036118
974.377441	-76.231445
979.760742	-76.777794
985.144043	-76.581642
990.527344	-75.372826
