Frequency (Hz)	Level (dB)
5.859375	-61.665230
11.718750	-56.492752
17.578125	-50.059135
23.437500	-47.538528
29.296875	-55.942528
35.156250	-62.976082
41.015625	-57.502701
46.875000	-56.417336
52.734375	-58.033180
58.593750	-64.592697
64.453125	-69.582031
70.312500	-69.605934
76.171875	-67.796089
82.031250	-71.473709
87.890625	-75.254814
93.750000	-73.819740
99.609375	-69.758118
105.468750	-73.764359
111.328125	-77.948639
117.187500	-78.404961
123.046875	-79.700073
128.906250	-79.652672
134.765625	-82.814377
140.625000	-86.855782
146.484375	-89.721298
152.343750	-91.527115
158.203125	-91.791023
164.062500	-91.348618
169.921875	-92.175926
175.781250	-92.550186
181.640625	-92.403191
187.500000	-89.185562
193.359375	-87.553947
199.218750	-84.438942
205.078125	-86.137741
210.937500	-88.772148
216.796875	-90.366096
222.656250	-88.945457
228.515625	-86.645370
234.375000	-83.267448
240.234375	-78.501648
246.093750	-74.721466
251.953125	-72.041672
257.812500	-67.097275
263.671875	-64.559349
269.531250	-65.675972
275.390625	-63.765560
281.250000	-65.043228
287.109375	-68.875465
292.968750	-71.538910
298.828125	-72.588882
304.687500	-75.165985
310.546875	-74.667389
316.406250	-74.186546
322.265625	-75.235573
328.125000	-72.969032
333.984375	-74.543541
339.843750	-73.856422
345.703125	-72.402611
351.562500	-72.832047
357.421875	-73.993416
363.281250	-72.114952
369.140625	-71.667381
375.000000	-72.039871
380.859375	-69.632820
386.718750	-65.702019
392.578125	-67.076508
398.437500	-73.316658
404.296875	-72.387619
410.156250	-68.086914
416.015625	-64.793793
421.875000	-59.106781
427.734375	-51.771618
433.593750	-43.067719
439.453125	-31.336586
445.312500	-28.017963
451.171875	-33.162323
457.031250	-48.359207
462.890625	-60.176376
468.750000	-64.571114
474.609375	-69.218224
480.468750	-72.423309
486.328125	-73.393150
492.187500	-73.784897
498.046875	-72.477295
503.906250	-74.123726
509.765625	-77.045746
515.625000	-74.688568
521.484375	-73.264061
527.343750	-72.755043
533.203125	-72.536766
539.062500	-73.726479
544.921875	-73.549423
550.781250	-74.192093
556.640625	-73.721420
562.500000	-76.449554
568.359375	-80.126556
574.218750	-81.288933
580.078125	-82.740311
585.937500	-84.327477
591.796875	-78.394951
597.656250	-77.560890
603.515625	-78.611244
609.375000	-77.754196
615.234375	-79.734276
621.093750	-81.484123
626.953125	-80.506401
632.812500	-80.795341
638.671875	-81.457817
644.531250	-78.113533
650.390625	-76.158867
656.250000	-78.088264
662.109375	-81.697815
667.968750	-81.343513
673.828125	-80.518166
679.687500	-81.966812
685.546875	-82.596916
691.406250	-83.663651
697.265625	-82.620689
703.125000	-79.694588
708.984375	-80.086159
714.843750	-83.318184
720.703125	-82.255478
726.562500	-80.535332
732.421875	-80.116020
738.281250	-79.099960
744.140625	-78.299416
750.000000	-79.478920
755.859375	-83.366089
761.718750	-86.148018
767.578125	-81.949409
773.437500	-80.857018
779.296875	-81.448387
785.156250	-81.472031
791.015625	-78.631287
796.875000	-77.562851
802.734375	-76.499184
808.593750	-74.128120
814.453125	-71.780159
820.312500	-71.312683
826.171875	-71.837646
832.031250	-74.285446
837.890625	-76.499962
843.750000	-76.930313
849.609375	-75.688416
855.468750	-73.561478
861.328125	-74.213074
867.187500	-66.736298
873.046875	-58.182636
878.906250	-36.053535
884.765625	-28.349117
890.625000	-31.104752
896.484375	-38.875412
902.343750	-49.923550
908.203125	-65.990562
914.062500	-66.639236
919.921875	-68.331436
925.781250	-68.849571
931.640625	-70.491699
937.500000	-71.608009
943.359375	-69.590622
949.218750	-69.404251
955.078125	-69.343719
960.937500	-70.916405
966.796875	-74.879616
972.656250	-79.096458
978.515625	-85.318855
984.375000	-86.501129
990.234375	-81.757446
996.093750	-80.413918
1001.953125	-83.254646
1007.812500	-82.025574
1013.671875	-78.753014
1019.531250	-80.200424
1025.390625	-82.620842
1031.250000	-81.337616
1037.109375	-79.572601
1042.968750	-79.709618
1048.828125	-78.674507
1054.687500	-78.789993
1060.546875	-79.322174
1066.406250	-81.701889
1072.265625	-84.238197
1078.125000	-83.118996
1083.984375	-81.861023
1089.843750	-83.613586
1095.703125	-83.614281
1101.562500	-83.078781
1107.421875	-84.680939
1113.281250	-84.127174
1119.140625	-81.624077
1125.000000	-78.440140
1130.859375	-77.341934
1136.718750	-77.250908
1142.578125	-76.957207
1148.437500	-78.136192
1154.296875	-78.321190
1160.156250	-78.179764
1166.015625	-77.710052
1171.875000	-76.358780
1177.734375	-75.132858
1183.593750	-75.410919
1189.453125	-76.075615
1195.312500	-78.173470
1201.171875	-79.411926
1207.031250	-78.902222
1212.890625	-78.101501
1218.750000	-80.877235
1224.609375	-84.145676
1230.468750	-84.410965
1236.328125	-82.417824
1242.187500	-81.770828
1248.046875	-81.031815
1253.906250	-80.992279
1259.765625	-80.697914
1265.625000	-82.011299
1271.484375	-78.650978
1277.343750	-78.528870
1283.203125	-77.599159
1289.062500	-74.878235
1294.921875	-68.725266
1300.781250	-62.922199
1306.640625	-59.310040
1312.500000	-54.462349
1318.359375	-51.644901
1324.218750	-36.450874
1330.078125	-30.828243
1335.937500	-33.779301
1341.796875	-38.086861
1347.656250	-45.560143
1353.515625	-63.489304
1359.375000	-68.169785
1365.234375	-72.760979
1371.093750	-72.127441
1376.953125	-70.299362
1382.812500	-72.473282
1388.671875	-76.087997
1394.531250	-80.006752
1400.390625	-78.969635
1406.250000	-79.875381
1412.109375	-81.328735
1417.968750	-84.664459
1423.828125	-88.594749
1429.687500	-85.065979
1435.546875	-84.153885
1441.406250	-84.661324
1447.265625	-83.715843
1453.125000	-84.044128
1458.984375	-82.248741
1464.843750	-82.778015
1470.703125	-83.577850
1476.562500	-83.427086
1482.421875	-82.063995
1488.281250	-80.303658
1494.140625	-80.524048
