Frequency (Hz)	Level (dB)
46.875000	-50.982540
93.750000	-63.191265
140.625000	-72.156166
187.500000	-75.115662
234.375000	-63.649319
281.250000	-60.124878
328.125000	-61.499287
375.000000	-55.596233
421.875000	-45.386391
468.750000	-21.865843
515.625000	-12.891914
562.500000	-16.230576
609.375000	-38.361763
656.250000	-51.979874
703.125000	-60.311337
750.000000	-66.368874
796.875000	-68.685005
843.750000	-67.906448
890.625000	-62.600925
937.500000	-53.384953
984.375000	-35.833260
1031.250000	-23.251427
1078.125000	-24.023825
1125.000000	-39.343628
1171.875000	-55.490955
1218.750000	-64.469879
1265.625000	-69.477478
1312.500000	-70.095764
1359.375000	-70.129951
1406.250000	-67.943489
1453.125000	-60.406891
1500.000000	-45.238964
1546.875000	-28.462822
1593.750000	-26.999111
1640.625000	-38.481934
1687.500000	-57.472908
1734.375000	-67.055351
1781.250000	-73.122002
1828.125000	-76.177696
1875.000000	-74.327103
1921.875000	-70.501663
1968.750000	-67.574020
2015.625000	-58.199490
2062.500000	-33.735943
2109.375000	-29.471491
2156.250000	-37.245914
2203.125000	-63.334450
2250.000000	-72.417458
2296.875000	-71.696098
2343.750000	-69.252388
2390.625000	-70.375465
2437.500000	-69.474129
2484.375000	-66.833725
2531.250000	-58.505833
2578.125000	-31.649626
2625.000000	-24.597446
2671.875000	-29.437185
2718.750000	-54.417244
2765.625000	-63.909924
2812.500000	-72.486885
2859.375000	-76.097412
2906.250000	-77.431030
2953.125000	-77.604889
3000.000000	-72.166496
3046.875000	-62.679169
3093.750000	-41.373997
3140.625000	-31.358772
3187.500000	-33.574368
3234.375000	-51.127361
3281.250000	-62.929817
3328.125000	-65.743240
3375.000000	-70.954109
3421.875000	-71.736145
3468.750000	-69.227158
3515.625000	-68.047813
3562.500000	-61.829052
3609.375000	-45.038647
3656.250000	-31.386410
3703.125000	-31.234529
3750.000000	-44.249126
3796.875000	-59.643044
3843.750000	-69.212929
3890.625000	-74.136436
3937.500000	-75.240860
3984.375000	-73.717491
4031.250000	-72.370552
4078.125000	-70.835739
4125.000000	-60.539219
4171.875000	-42.080769
4218.750000	-39.512947
4265.625000	-49.147354
4312.500000	-67.133125
4359.375000	-68.534065
4406.250000	-65.786758
4453.125000	-67.191078
4500.000000	-69.489105
4546.875000	-71.748024
4593.750000	-71.235115
4640.625000	-70.175766
4687.500000	-55.453083
4734.375000	-51.217758
4781.250000	-58.383087
4828.125000	-67.755318
4875.000000	-65.496773
4921.875000	-64.480011
4968.750000	-65.056122
5015.625000	-67.279442
5062.500000	-69.442711
5109.375000	-70.159348
5156.250000	-72.123489
5203.125000	-56.973286
5250.000000	-49.159756
5296.875000	-52.560905
5343.750000	-68.698669
5390.625000	-73.381050
5437.500000	-73.494820
5484.375000	-74.088707
5531.250000	-75.548462
5578.125000	-77.318413
5625.000000	-75.118073
5671.875000	-68.962280
5718.750000	-57.919689
5765.625000	-48.662930
5812.500000	-50.672081
5859.375000	-65.096512
5906.250000	-71.603989
5953.125000	-76.356773
6000.000000	-76.147934
6046.875000	-76.387306
6093.750000	-80.494690
6140.625000	-83.155746
6187.500000	-79.975998
6234.375000	-68.631989
6281.250000	-57.366234
6328.125000	-57.994938
6375.000000	-69.808495
6421.875000	-78.462883
6468.750000	-79.025177
6515.625000	-77.415092
6562.500000	-77.365097
6609.375000	-77.270790
6656.250000	-76.595123
6703.125000	-76.359917
6750.000000	-75.295639
6796.875000	-62.372856
6843.750000	-59.348095
6890.625000	-67.056290
6937.500000	-80.143517
6984.375000	-80.184059
7031.250000	-79.927536
7078.125000	-79.033585
7125.000000	-79.328339
7171.875000	-77.400597
7218.750000	-78.099030
7265.625000	-74.555595
7312.500000	-58.633656
7359.375000	-54.203522
7406.250000	-60.140327
7453.125000	-76.897415
7500.000000	-81.741814
7546.875000	-83.413521
7593.750000	-84.112480
7640.625000	-83.150391
7687.500000	-82.154457
7734.375000	-82.811111
7781.250000	-82.383408
7828.125000	-66.365387
7875.000000	-58.939823
7921.875000	-62.337868
7968.750000	-77.889214
8015.625000	-81.269569
8062.500000	-80.988457
8109.375000	-81.469788
8156.250000	-81.894264
8203.125000	-82.251335
8250.000000	-82.601616
8296.875000	-83.351868
8343.750000	-73.856079
8390.625000	-63.390060
8437.500000	-63.576191
8484.375000	-73.915291
8531.250000	-81.060059
8578.125000	-80.436310
8625.000000	-80.212868
8671.875000	-80.370361
8718.750000	-82.742973
8765.625000	-82.968895
8812.500000	-81.232132
8859.375000	-77.136925
8906.250000	-64.267097
8953.125000	-62.984348
9000.000000	-72.665085
9046.875000	-80.422379
9093.750000	-79.544754
9140.625000	-79.812912
9187.500000	-80.251221
9234.375000	-80.874886
9281.250000	-82.364944
9328.125000	-83.969025
9375.000000	-79.121780
9421.875000	-64.322472
9468.750000	-61.176224
9515.625000	-68.787598
9562.500000	-83.833305
9609.375000	-83.489502
9656.250000	-83.815102
9703.125000	-83.097313
9750.000000	-83.479446
9796.875000	-82.474350
9843.750000	-81.579536
9890.625000	-82.715813
9937.500000	-74.633957
9984.375000	-68.600143
10031.250000	-72.437340
10078.125000	-81.947899
10125.000000	-82.132812
10171.875000	-81.506966
10218.750000	-82.418983
10265.625000	-83.300858
10312.500000	-85.568237
10359.375000	-85.735313
10406.250000	-83.690727
10453.125000	-73.484879
10500.000000	-66.611237
10546.875000	-69.451698
10593.750000	-80.321350
10640.625000	-81.729073
10687.500000	-80.658943
10734.375000	-81.223717
10781.250000	-82.261841
10828.125000	-81.011368
10875.000000	-80.136887
10921.875000	-81.062431
10968.750000	-79.970627
11015.625000	-73.895958
11062.500000	-74.782852
11109.375000	-81.061829
11156.250000	-82.814285
11203.125000	-83.384026
11250.000000	-81.735405
11296.875000	-81.301552
11343.750000	-82.054245
11390.625000	-82.129837
11437.500000	-82.353455
11484.375000	-80.010452
11531.250000	-72.414009
11578.125000	-70.709503
11625.000000	-76.619667
11671.875000	-84.521553
11718.750000	-84.914627
11765.625000	-84.916916
11812.500000	-85.168495
11859.375000	-85.312798
11906.250000	-84.891350
11953.125000	-84.546112
12000.000000	-82.145569
12046.875000	-71.529541
12093.750000	-68.226151
12140.625000	-74.107742
12187.500000	-85.358673
12234.375000	-86.355797
12281.250000	-86.827866
12328.125000	-86.689827
12375.000000	-86.215576
12421.875000	-86.734207
12468.750000	-86.580826
12515.625000	-85.397110
12562.500000	-77.044998
12609.375000	-71.725838
12656.250000	-75.476303
12703.125000	-85.563431
12750.000000	-86.149536
12796.875000	-86.517540
12843.750000	-86.990456
12890.625000	-86.836815
12937.500000	-85.387032
12984.375000	-84.636398
13031.250000	-84.433350
13078.125000	-73.386444
13125.000000	-66.713272
13171.875000	-69.094864
13218.750000	-81.160439
13265.625000	-85.981949
13312.500000	-86.415840
13359.375000	-86.331833
13406.250000	-85.566063
13453.125000	-86.341011
13500.000000	-87.020142
13546.875000	-86.110153
13593.750000	-79.351860
13640.625000	-71.456795
13687.500000	-72.081642
13734.375000	-82.157372
13781.250000	-87.451118
13828.125000	-88.643806
13875.000000	-89.158722
13921.875000	-89.568199
13968.750000	-89.290405
14015.625000	-89.920341
14062.500000	-90.339584
14109.375000	-88.094994
14156.250000	-80.123299
14203.125000	-78.014481
14250.000000	-83.730263
14296.875000	-88.645973
14343.750000	-88.547821
14390.625000	-89.044769
14437.500000	-88.426994
14484.375000	-88.326653
14531.250000	-88.736046
14578.125000	-88.448448
